index,index,create_age(months),expiry_age(months),update_age(days),URL,num_domain_periods,domain_length,num_domain_terms,Has_Sensitive_words,Has_IP,Num_Periods,Has_sus_char,URL_Length,num_slashes,sus_files,Label,URLNet_Prediction,predict
2805.0,2805.0,-1.0,-1.0,-1.0,http://naledibooks.co.za/wp-content/languages/update.htm...,2.0,15.0,3.0,1.0,0.0,3.0,1.0,59.0,5.0,0.0,1.0,0,
1702.0,1702.0,-1.0,-1.0,-1.0,http://www.professionalresumes.com.au/...,2.0,24.0,3.0,0.0,0.0,3.0,0.0,41.0,3.0,0.0,0.0,0,
4396.0,4396.0,-1.0,-1.0,-1.0,http://appleid.apple.com-subscriptions.manager1302665067.kevinfoley.co...,8.0,58.0,9.0,0.0,0.0,5.0,1.0,73.0,2.0,1.0,1.0,0,
3536.0,3536.0,43.0,5.0,180.0,http://www.foxsportsasia.com/...,1.0,16.0,2.0,0.0,0.0,2.0,0.0,32.0,3.0,0.0,0.0,0,
2656.0,2656.0,79.0,5.0,224.0,http://www.mrsgibblescandies.com/...,1.0,20.0,2.0,0.0,0.0,2.0,0.0,36.0,3.0,0.0,0.0,1,
3691.0,3691.0,-1.0,-1.0,-1.0,http://profisionnel24fair.com/support2016.impots/verification/support-...,1.0,21.0,2.0,0.0,0.0,2.0,1.0,73.0,5.0,0.0,1.0,1,
494.0,494.0,61.0,11.0,47.0,http://www.webcampersonnel.com/Drop/Drop...,1.0,17.0,2.0,0.0,0.0,2.0,0.0,43.0,4.0,0.0,1.0,1,
3027.0,3027.0,275.0,25.0,916.0,http://money.cnn.com/magazines/fortune/fortune500/...,2.0,11.0,3.0,0.0,0.0,2.0,0.0,53.0,6.0,0.0,0.0,1,
3595.0,3595.0,-1.0,-1.0,-1.0,http://b.1339.cf/yjkkhgq.html...,2.0,7.0,3.0,0.0,0.0,3.0,0.0,32.0,3.0,0.0,1.0,1,
2295.0,2295.0,229.0,11.0,65.0,http://www.concordiaexpeditions.com/luckypilot/...,1.0,23.0,2.0,0.0,0.0,2.0,0.0,50.0,4.0,0.0,0.0,0,
4206.0,4206.0,152.0,4.0,249.0,http://spiritofarabia.com/var/package/tmp/ALLAHOAKBAR/ee62fc86c4ffb9f5...,1.0,17.0,2.0,0.0,0.0,1.0,0.0,73.0,7.0,1.0,1.0,0,
1522.0,1522.0,-1.0,-1.0,-1.0,http://www.yumero.tk/arc/lendin/SMILING/736b7d8ba7488993bf6c5b406b4d1c...,1.0,8.0,2.0,0.0,0.0,2.0,0.0,73.0,6.0,0.0,1.0,1,
2659.0,2659.0,-1.0,-1.0,-1.0,http://www.osdikepieshack.org/...,1.0,17.0,2.0,0.0,0.0,2.0,0.0,33.0,3.0,0.0,1.0,0,
3305.0,3305.0,2.0,10.0,68.0,http://hot-clips.top/...,1.0,12.0,2.0,0.0,0.0,1.0,1.0,24.0,3.0,0.0,1.0,0,
1964.0,1964.0,37.0,11.0,972.0,http://handasapc.com/htd1.html...,1.0,12.0,2.0,0.0,0.0,2.0,0.0,33.0,3.0,0.0,1.0,1,
618.0,618.0,166.0,2.0,5049.0,http://www.johnsvintageradio.com/...,1.0,20.0,2.0,0.0,0.0,2.0,0.0,36.0,3.0,0.0,0.0,1,
2121.0,2121.0,-1.0,-1.0,-1.0,http://service-account-amazon.cf/ee6f1249b181a6fa261e58f9aefeec53/inde...,1.0,24.0,2.0,0.0,0.0,1.0,1.0,73.0,4.0,0.0,1.0,0,
4152.0,4152.0,70.0,2.0,313.0,http://gz.airplanepilotlessons.com/SUCCESS/...,2.0,25.0,3.0,0.0,0.0,2.0,0.0,46.0,4.0,0.0,1.0,0,
1954.0,1954.0,-1.0,-1.0,-1.0,http://www.iclaplata.com.ar/media/dropbox/dropbox/...,2.0,14.0,3.0,0.0,0.0,3.0,0.0,53.0,6.0,0.0,1.0,0,
1075.0,1075.0,121.0,11.0,46.0,http://aandgtrading.com/category_images/sim/bookmark/ii.php?fid=4&amp;...,1.0,15.0,2.0,0.0,0.0,2.0,0.0,73.0,6.0,1.0,1.0,1,
1842.0,1842.0,-1.0,-1.0,-1.0,http://walterpfeifer.ch/brownianmotion/...,1.0,14.0,2.0,0.0,0.0,1.0,0.0,42.0,4.0,0.0,0.0,1,
3174.0,3174.0,4.0,8.0,121.0,http://powerrockonline.com/paypal/kxrorie9r8ypbt2wkbzhcjk8tni5h81rwj6d...,1.0,18.0,2.0,0.0,0.0,1.0,0.0,73.0,4.0,0.0,1.0,0,
869.0,869.0,122.0,10.0,66.0,http://www.realbreadpudding.com/...,1.0,19.0,2.0,0.0,0.0,2.0,0.0,35.0,3.0,0.0,0.0,0,
2540.0,2540.0,203.0,61.0,15.0,http://www.matchedpairs.com/...,1.0,15.0,2.0,0.0,0.0,2.0,0.0,31.0,3.0,0.0,0.0,1,
1042.0,1042.0,-1.0,-1.0,-1.0,http://kjstudio.com.au/mnxxzcx...,2.0,13.0,3.0,0.0,0.0,2.0,0.0,33.0,3.0,1.0,1.0,0,
1197.0,1197.0,188.0,16.0,1009.0,http://www.americanlibraryinparis.org/...,1.0,25.0,2.0,0.0,0.0,2.0,0.0,41.0,3.0,0.0,0.0,0,
356.0,356.0,76.0,8.0,489.0,http://khsosi.com/nawaf/bookmark/index.php?.randu0013inboxlight.aspx?n...,1.0,9.0,2.0,0.0,0.0,4.0,0.0,73.0,5.0,1.0,1.0,0,
2583.0,2583.0,-1.0,-1.0,-1.0,http://pp-verified-de.ga/user-login.php?cmd=_flow&SESSION=ah5YIO6PnmuT...,1.0,16.0,2.0,1.0,0.0,2.0,1.0,73.0,3.0,1.0,1.0,0,
4549.0,4549.0,110.0,22.0,62.0,http://www.electionsquare.com/wp-includes/fonts/www.hblibank.com.pk.ht...,1.0,17.0,2.0,1.0,0.0,6.0,1.0,73.0,5.0,0.0,1.0,0,
2813.0,2813.0,202.0,62.0,7.0,http://www.philobiblon.com/isitabook/bib.html...,1.0,14.0,2.0,0.0,0.0,3.0,0.0,48.0,4.0,0.0,0.0,1,
3933.0,3933.0,92.0,28.0,47.0,http://www.thinkbigprogram.com/...,1.0,18.0,2.0,0.0,0.0,2.0,0.0,34.0,3.0,0.0,0.0,1,
4668.0,4668.0,227.0,25.0,35.0,http://www.melitta.com/...,1.0,10.0,2.0,0.0,0.0,2.0,0.0,26.0,3.0,0.0,0.0,0,
1907.0,1907.0,113.0,31.0,418.0,http://service-apple-info.myrtlebeachhotelcondo.com/index2.php...,2.0,42.0,3.0,0.0,0.0,3.0,1.0,65.0,3.0,1.0,1.0,1,
1590.0,1590.0,209.0,43.0,396.0,http://jobsearchtech.about.com/library/weekly/aa083099.htm...,2.0,21.0,3.0,0.0,0.0,3.0,0.0,61.0,5.0,0.0,0.0,1,
3590.0,3590.0,-1.0,-1.0,-1.0,http://holidaycoasttours.com.au/properties/wess...,2.0,22.0,3.0,0.0,0.0,2.0,0.0,50.0,4.0,0.0,1.0,1,
332.0,332.0,-1.0,-1.0,-1.0,http://www.recordcellar.ca/...,1.0,14.0,2.0,0.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,1,
4527.0,4527.0,38.0,10.0,51.0,http://hallmarkteam.com/cls/Hotmail-New/Verification%20Set-up.html...,1.0,15.0,2.0,0.0,0.0,2.0,1.0,69.0,5.0,0.0,1.0,1,
4536.0,4536.0,36.0,12.0,6.0,http://www.haitri.com/js/----/amli.fr/free/sm/oo/ve/PortailAS/assure_s...,1.0,9.0,2.0,0.0,0.0,3.0,1.0,73.0,11.0,1.0,1.0,1,
3412.0,3412.0,226.0,14.0,8.0,http://hiroba.dqx.jp.iuxzl.usa.cc/...,5.0,21.0,6.0,0.0,0.0,5.0,0.0,37.0,3.0,0.0,1.0,0,
1437.0,1437.0,10.0,2.0,230.0,http://discernhomes.com/.usaaupdate/contact/contact/contact/login/inde...,1.0,15.0,2.0,1.0,0.0,2.0,0.0,73.0,8.0,0.0,1.0,1,
2264.0,2264.0,137.0,19.0,193.0,https://bbrasilclientescadas.websiteseguro.com/segbb/loading.html...,2.0,36.0,3.0,0.0,0.0,3.0,0.0,68.0,4.0,0.0,1.0,1,
3682.0,3682.0,-1.0,-1.0,-1.0,http://www.hbmeyer.de/rechnen/demu06en.htm...,1.0,9.0,2.0,0.0,0.0,3.0,0.0,45.0,4.0,0.0,0.0,0,
2312.0,2312.0,184.0,8.0,127.0,http://www.gtislig.org/...,1.0,10.0,2.0,0.0,0.0,2.0,0.0,26.0,3.0,0.0,0.0,1,
3041.0,3041.0,-1.0,-1.0,-1.0,http://bit.ly/Appelverified...,1.0,5.0,2.0,0.0,0.0,1.0,0.0,30.0,3.0,0.0,1.0,0,
1212.0,1212.0,35.0,1.0,347.0,http://click-information-next-page-2016.fulba.com/index.htm...,2.0,40.0,3.0,0.0,0.0,3.0,1.0,62.0,3.0,1.0,1.0,1,
445.0,445.0,174.0,6.0,25.0,http://www.plexim.com/...,1.0,9.0,2.0,0.0,0.0,2.0,0.0,25.0,3.0,0.0,0.0,1,
2103.0,2103.0,-1.0,-1.0,-1.0,http://gokpr.by/id/manage/customer/check/3e1bc81e1fc18c4324e366cf18efe...,1.0,7.0,2.0,0.0,0.0,1.0,0.0,73.0,7.0,0.0,1.0,0,
452.0,452.0,13.0,11.0,36.0,http://onmt.net/source/index.php...,1.0,7.0,2.0,0.0,0.0,2.0,0.0,35.0,4.0,1.0,1.0,0,
2342.0,2342.0,204.0,12.0,220.0,http://www.manorresources.co.uk/...,2.0,18.0,3.0,0.0,0.0,3.0,0.0,35.0,3.0,0.0,0.0,0,
2754.0,2754.0,-1.0,-1.0,-1.0,http://corebeat.es/wp-includes/css/flame/7a1b16c4d315d76817954b0efdb62...,1.0,10.0,2.0,0.0,0.0,1.0,1.0,73.0,6.0,0.0,1.0,0,
14.0,14.0,-1.0,-1.0,-1.0,http://www.audi.co.nz/...,2.0,8.0,3.0,0.0,0.0,3.0,0.0,25.0,3.0,0.0,0.0,0,
2451.0,2451.0,-1.0,-1.0,-1.0,http://www.maduratea.com.au/...,2.0,14.0,3.0,0.0,0.0,3.0,0.0,31.0,3.0,0.0,0.0,0,
945.0,945.0,3.0,9.0,85.0,http://mabanque-bnpparibas.net/~ameli/login/amli.fr/free/sm/oo/ve/Port...,1.0,22.0,2.0,1.0,0.0,2.0,1.0,73.0,10.0,0.0,1.0,0,
3220.0,3220.0,166.0,50.0,1464.0,http://www.collectorsworld.us/...,1.0,17.0,2.0,0.0,0.0,2.0,0.0,33.0,3.0,0.0,0.0,1,
2997.0,2997.0,-1.0,-1.0,-1.0,http://math.usask.ca/fvk/Valth.html...,2.0,11.0,3.0,0.0,0.0,3.0,0.0,38.0,4.0,0.0,0.0,1,
